MAC Address,Name,First Seen,Last Seen,Hit Count,Time Active (minutes)
BLE,59:21:54:06:CF:98,Unknown Vendor,59-21-54-06-CF-98,2025-04-27 00:27:24,2025-04-27 00:27:24,1,0
BLE,58:1A:14:AC:31:CB,Unknown Vendor,58-1A-14-AC-31-CB,2025-04-27 00:27:24,2025-04-27 00:27:24,1,0
BLE,6F:AA:E4:E8:45:59,Unknown Vendor,6F-AA-E4-E8-45-59,2025-04-27 00:27:24,2025-04-27 00:27:24,1,0
BLE,7A:FC:F8:41:9D:BF,Unknown Vendor,7A-FC-F8-41-9D-BF,2025-04-27 00:27:24,2025-04-27 00:27:24,1,0
BLE,DC:1D:30:A0:5E:CD,Unknown Vendor,Label Printer-5ECD,2025-04-27 00:27:24,2025-04-27 00:27:24,1,0
BLE,77:A8:1E:4C:49:AB,Unknown Vendor,77-A8-1E-4C-49-AB,2025-04-27 00:27:24,2025-04-27 00:27:24,1,0
BLE,4E:FC:FE:2C:6C:39,Unknown Vendor,4E-FC-FE-2C-6C-39,2025-04-27 00:27:24,2025-04-27 00:27:24,1,0
BLE,7E:80:1D:CC:8E:E7,Unknown Vendor,7E-80-1D-CC-8E-E7,2025-04-27 00:27:24,2025-04-27 00:27:24,1,0
BLE,F7:6A:4F:3F:34:C6,Unknown Vendor,F7-6A-4F-3F-34-C6,2025-04-27 00:27:24,2025-04-27 00:27:24,1,0
BLE,50:D1:1A:46:6E:0E,Unknown Vendor,50-D1-1A-46-6E-0E,2025-04-27 00:27:24,2025-04-27 00:27:24,1,0
BLE,61:8F:59:1A:40:DE,Unknown Vendor,61-8F-59-1A-40-DE,2025-04-27 00:28:44,2025-04-27 00:28:44,1,0
BLE,E3:72:1D:13:98:04,Unknown Vendor,E3-72-1D-13-98-04,2025-04-27 00:31:00,2025-04-27 00:31:00,1,0
BLE,CC:AB:DE:3F:57:8F,Unknown Vendor,CC-AB-DE-3F-57-8F,2025-04-27 00:31:00,2025-04-27 00:31:00,1,0
BLE,52:54:A9:CB:7E:F2,Unknown Vendor,52-54-A9-CB-7E-F2,2025-04-27 00:37:49,2025-04-27 00:37:49,1,0
BLE,5E:20:CE:60:F4:22,Unknown Vendor,5E-20-CE-60-F4-22,2025-04-27 00:37:49,2025-04-27 00:37:49,1,0
BLE,4C:63:1F:81:B6:21,Unknown Vendor,4C-63-1F-81-B6-21,2025-04-27 00:38:57,2025-04-27 00:38:57,1,0
BLE,64:0D:CF:3A:38:0C,Unknown Vendor,64-0D-CF-3A-38-0C,2025-04-27 00:38:57,2025-04-27 00:38:57,1,0
BLE,7B:86:57:99:80:D6,Unknown Vendor,7B-86-57-99-80-D6,2025-04-27 00:38:57,2025-04-27 00:38:57,1,0
BLE,44:1B:82:69:D2:0B,Unknown Vendor,44-1B-82-69-D2-0B,2025-04-27 00:42:21,2025-04-27 00:42:21,1,0
BLE,D0:87:62:AE:A0:2B,Unknown Vendor,D0-87-62-AE-A0-2B,2025-04-27 00:45:45,2025-04-27 00:45:45,1,0
BLE,C1:8F:97:8E:B3:53,Unknown Vendor,C1-8F-97-8E-B3-53,2025-04-27 00:46:53,2025-04-27 00:46:53,1,0
BLE,45:EB:CF:26:46:AA,Unknown Vendor,45-EB-CF-26-46-AA,2025-04-27 00:49:09,2025-04-27 00:49:09,1,0
BLE,4E:AF:76:7C:F3:D6,Unknown Vendor,4E-AF-76-7C-F3-D6,2025-04-27 00:49:09,2025-04-27 00:49:09,1,0
BLE,5B:50:F3:32:46:94,Unknown Vendor,5B-50-F3-32-46-94,2025-04-27 00:53:42,2025-04-27 00:53:42,1,0
BLE,7F:F2:11:BC:84:A9,Unknown Vendor,7F-F2-11-BC-84-A9,2025-04-27 00:57:06,2025-04-27 00:57:06,1,0
BLE,73:3D:E2:5E:AE:B9,Unknown Vendor,73-3D-E2-5E-AE-B9,2025-04-27 00:57:06,2025-04-27 00:57:06,1,0
BLE,53:AD:72:F3:EB:CC,Unknown Vendor,53-AD-72-F3-EB-CC,2025-04-27 00:58:14,2025-04-27 00:58:14,1,0
BLE,46:B9:4F:7B:AC:EA,Unknown Vendor,46-B9-4F-7B-AC-EA,2025-04-27 00:58:14,2025-04-27 00:58:14,1,0
BLE,CC:C2:BF:9D:86:38,Unknown Vendor,CC-C2-BF-9D-86-38,2025-04-27 01:00:30,2025-04-27 01:00:30,1,0
BLE,C3:AF:89:D7:B4:92,Unknown Vendor,C3-AF-89-D7-B4-92,2025-04-27 01:00:30,2025-04-27 01:00:30,1,0
BLE,5F:A7:01:B3:74:0C,Unknown Vendor,5F-A7-01-B3-74-0C,2025-04-27 01:03:55,2025-04-27 01:03:55,1,0
BLE,43:D0:D6:BD:3C:8E,Unknown Vendor,43-D0-D6-BD-3C-8E,2025-04-27 01:08:27,2025-04-27 01:08:27,1,0
BLE,64:14:CC:98:AF:A6,Unknown Vendor,64-14-CC-98-AF-A6,2025-04-27 01:12:59,2025-04-27 01:12:59,1,0
BLE,56:09:A9:6F:23:BF,Unknown Vendor,56-09-A9-6F-23-BF,2025-04-27 01:12:59,2025-04-27 01:12:59,1,0
BLE,47:9E:FB:8F:1A:AA,Unknown Vendor,47-9E-FB-8F-1A-AA,2025-04-27 01:14:07,2025-04-27 01:14:07,1,0
BLE,7E:15:04:76:6C:C6,Unknown Vendor,7E-15-04-76-6C-C6,2025-04-27 01:14:07,2025-04-27 01:14:07,1,0
BLE,5A:22:0F:27:A2:A3,Unknown Vendor,5A-22-0F-27-A2-A3,2025-04-27 01:14:07,2025-04-27 01:14:07,1,0
BLE,EB:08:69:0A:E7:6D,Unknown Vendor,EB-08-69-0A-E7-6D,2025-04-27 01:15:15,2025-04-27 01:15:15,1,0
BLE,64:52:E0:50:8A:96,Unknown Vendor,64-52-E0-50-8A-96,2025-04-27 01:16:24,2025-04-27 01:16:24,1,0
BLE,CF:80:FC:18:CA:93,Unknown Vendor,CF-80-FC-18-CA-93,2025-04-27 01:16:24,2025-04-27 01:16:24,1,0
BLE,60:16:66:13:C0:E1,Unknown Vendor,60-16-66-13-C0-E1,2025-04-27 01:18:40,2025-04-27 01:18:40,1,0
BLE,58:6A:E0:08:4C:B8,Unknown Vendor,58-6A-E0-08-4C-B8,2025-04-27 01:18:40,2025-04-27 01:18:40,1,0
BLE,47:01:B9:4D:43:2E,Unknown Vendor,47-01-B9-4D-43-2E,2025-04-27 01:28:53,2025-04-27 01:28:53,1,0
BLE,4F:3D:3B:67:9D:4B,Unknown Vendor,4F-3D-3B-67-9D-4B,2025-04-27 01:28:53,2025-04-27 01:28:53,1,0
BLE,4B:E0:2A:CA:A0:56,Unknown Vendor,4B-E0-2A-CA-A0-56,2025-04-27 01:28:53,2025-04-27 01:28:53,1,0
BLE,C5:20:B5:F8:16:59,Unknown Vendor,C5-20-B5-F8-16-59,2025-04-27 01:31:09,2025-04-27 01:31:09,1,0
BLE,4E:40:79:86:33:F4,Unknown Vendor,4E-40-79-86-33-F4,2025-04-27 01:35:41,2025-04-27 01:35:41,1,0
BLE,4D:5F:83:9D:6A:B3,Unknown Vendor,4D-5F-83-9D-6A-B3,2025-04-27 01:35:41,2025-04-27 01:35:41,1,0
